CUI_ID,Gene
C1412592,asph
C1825090,asphd1
C1825091,asphd2
C1425978,aspm
C1423015,aspn
C2239905,asprv1
C1422219,aspscr1
C2348757,aspscr1
C1424288,asrgl1
C1825092,ass1
C1825093,aste1
C1540209,astl
C1825094,astn1
C1424691,astn2
C1425445,asxl1
C3273358,asxl1
C1428272,asxl2
C2239906,asxl3
C1540210,asz1
C1428532,atad1
C1428934,atad2
C1825095,atad2b
C1428501,atad3a
C1428335,atad3b
C1825096,atad3c
C1708025,atad5
C1427398,atat1
C1412612,atcay
C1832585,atcay
C1412614,ate1
C1333669,atf1
C1412615,atf1
C1708119,atf1
C2984895,atf1
C1141625,atf2
C1332119,atf2
C1333669,atf2
C1705772,atf2
C1708119,atf2
C1412616,atf3
C3542399,atf3
C1412617,atf4
C1412621,atf5
C1412622,atf6
C1413704,atf6b
C1412623,atf7
C1426677,atf7ip
C1426912,atf7ip2
C1825501,atg10
C1865043,atg12
C3146638,atg13
C4284300,atg13
